ProjectCode,AssignmentIndex,Name,StartDate,EndDate,StatusId,TargetCount,Notes
PRJ-001,1,Ocak 2024,2024-01-01,2024-01-31,2,35,İlk dönem - Ahmet
PRJ-001,1,Şubat 2024,2024-02-01,2024-02-29,2,35,
PRJ-001,1,Mart 2024,2024-03-01,2024-03-31,2,30,Son dönem
PRJ-001,2,Ocak 2024,2024-01-01,2024-01-31,2,35,İlk dönem - Mehmet
PRJ-001,2,Şubat 2024,2024-02-01,2024-02-29,2,35,
PRJ-001,2,Mart 2024,2024-03-01,2024-03-31,2,30,
PRJ-001,3,Ocak 2024,2024-01-01,2024-01-31,2,35,İlk dönem - Ayşe
PRJ-001,3,Şubat 2024,2024-02-01,2024-02-29,2,35,
PRJ-001,3,Mart 2024,2024-03-01,2024-03-31,2,30,
PRJ-002,1,Nisan 2024,2024-04-01,2024-04-30,1,35,Açık dönem
PRJ-002,2,Nisan 2024,2024-04-01,2024-04-30,1,35,Açık dönem
PRJ-003,1,2024 Yılı,2024-01-01,2024-12-31,1,50,Tüm yıl
PRJ-003,2,2024 Yılı,2024-01-01,2024-12-31,1,50,Tüm yıl
